Kind,n,time (sec),MB / sec
Send/Recv,1,7.7E-05,0.103492
Send/Recv,2,8.3E-05,0.192134
Send/Recv,4,8.3E-05,0.38461
Send/Recv,8,7.1E-05,0.901309
Send/Recv,16,7.5E-05,1.697554
Send/Recv,32,7.9E-05,3.23921
Send/Recv,64,8.5E-05,6.006419
Send/Recv,128,9.8E-05,10.496266
Send/Recv,256,0.000146,14.00468
Send/Recv,512,0.000147,27.958186
Send/Recv,1024,0.000189,43.285972
Send/Recv,2048,0.000268,61.20764
Send/Recv,4096,0.000543,60.32756
Send/Recv,8192,0.00086,76.212051
Send/Recv,16384,0.001317,99.524783
Send/Recv,32768,0.002639,99.31751
Send/Recv,65536,0.00487,107.653015
Send/Recv,131072,0.009342,112.248796
Send/Recv,262144,0.018384,114.072775
Send/Recv,524288,0.036383,115.282007
Send/Recv,1048576,0.072293,116.036137
